Timestamp,Session ID,Building,Floor,Localization Time (s),Localization Success,Navigation Time (s),Navigation Success
2024-11-10 22:43:27,anbang,LightHouse,6_floor,0.41,Failed,,
2024-11-10 22:43:28,anbang,LightHouse,6_floor,0.41,Success,0.09,Success
2024-11-10 22:43:29,anbang,LightHouse,6_floor,0.4,Failed,,
2024-11-10 22:43:48,anbang,LightHouse,6_floor,0.43,Success,0.05,Success
2024-11-10 22:44:39,anbang,LightHouse,6_floor,0.4,Failed,,
2024-11-10 22:44:44,anbang,LightHouse,6_floor,0.43,Failed,,
2024-11-10 22:44:50,anbang,LightHouse,6_floor,0.52,Success,0.05,Success
2024-11-10 22:45:37,anbang,LightHouse,6_floor,0.41,Failed,,
2024-11-10 22:45:37,anbang,LightHouse,6_floor,0.39,Failed,,
2024-11-10 22:45:38,anbang,LightHouse,6_floor,0.4,Failed,,
2024-11-10 22:45:39,anbang,LightHouse,6_floor,0.48,Failed,,
2024-11-10 22:45:39,anbang,LightHouse,6_floor,0.48,Failed,,
2024-11-10 22:45:40,anbang,LightHouse,6_floor,0.5,Failed,,
2024-11-10 22:45:41,anbang,LightHouse,6_floor,0.48,Failed,,
2024-11-10 22:45:42,anbang,LightHouse,6_floor,0.49,Failed,,
2024-11-10 22:45:42,anbang,LightHouse,6_floor,0.49,Failed,,
2024-11-10 22:45:43,anbang,LightHouse,6_floor,0.49,Failed,,
2024-11-10 22:45:44,anbang,LightHouse,6_floor,0.49,Failed,,
2024-11-10 22:45:44,anbang,LightHouse,6_floor,0.49,Failed,,
2024-11-10 22:45:45,anbang,LightHouse,6_floor,0.49,Failed,,
2024-11-10 22:45:46,anbang,LightHouse,6_floor,0.49,Failed,,
2024-11-10 22:45:47,anbang,LightHouse,6_floor,0.46,Failed,,
2024-11-10 22:45:47,anbang,LightHouse,6_floor,0.44,Failed,,
2024-11-10 22:45:48,anbang,LightHouse,6_floor,0.44,Failed,,
2024-11-10 22:45:49,anbang,LightHouse,6_floor,0.44,Failed,,
2024-11-10 22:45:50,anbang,LightHouse,6_floor,0.45,Failed,,
2024-11-10 22:45:50,anbang,LightHouse,6_floor,0.45,Failed,,
2024-11-10 22:45:51,anbang,LightHouse,6_floor,0.42,Success,0.07,Success
2024-11-10 22:45:52,anbang,LightHouse,6_floor,0.53,Success,,
2024-11-10 22:50:13,anbang,LightHouse,6_floor,0.56,Success,0.0,Success
2024-11-10 22:50:14,anbang,LightHouse,6_floor,0.47,Success,,
2024-11-10 22:50:48,anbang,LightHouse,6_floor,0.46,Failed,,
2024-11-10 22:50:52,anbang,LightHouse,6_floor,0.45,Success,0.05,Success
2024-11-10 22:52:18,anbang,LightHouse,6_floor,0.45,Failed,,
2024-11-10 22:52:24,anbang,LightHouse,6_floor,0.46,Failed,,
2024-11-10 22:52:28,anbang,LightHouse,6_floor,0.46,Failed,,
2024-11-10 22:52:40,anbang,LightHouse,6_floor,0.45,Failed,,
2024-11-10 22:52:41,anbang,LightHouse,6_floor,0.44,Failed,,
2024-11-10 22:52:42,anbang,LightHouse,6_floor,0.44,Failed,,
2024-11-10 22:52:42,anbang,LightHouse,6_floor,0.44,Failed,,
2024-11-10 22:52:43,anbang,LightHouse,6_floor,0.44,Failed,,
2024-11-10 22:52:44,anbang,LightHouse,6_floor,0.47,Failed,,
2024-11-10 22:52:45,anbang,LightHouse,6_floor,0.46,Failed,,
2024-11-10 22:52:45,anbang,LightHouse,6_floor,0.45,Failed,,
2024-11-10 22:53:17,anbang,LightHouse,6_floor,0.4,Failed,,
2024-11-10 22:53:24,anbang,LightHouse,6_floor,0.37,Failed,,
2024-11-10 22:53:32,anbang,LightHouse,6_floor,0.38,Failed,,
2024-11-10 22:53:42,anbang,LightHouse,6_floor,0.38,Failed,,
2024-11-10 22:53:47,anbang,LightHouse,6_floor,0.38,Failed,,
2024-11-10 22:53:52,anbang,LightHouse,6_floor,0.37,Failed,,
2024-11-10 22:53:57,anbang,LightHouse,6_floor,0.38,Failed,,
2024-11-11 10:00:38,Vinay19,N/A,N/A,3.77,Failed,,
2024-11-11 10:00:44,Vinay19,LightHouse,6_floor,5.49,Success,0.02,Success
2024-11-11 10:00:45,Vinay19,LightHouse,6_floor,0.38,Failed,,
2024-11-11 10:00:46,Vinay19,LightHouse,6_floor,0.4,Failed,,
2024-11-11 10:00:47,Vinay19,LightHouse,6_floor,0.4,Failed,,
2024-11-11 10:00:47,Vinay19,LightHouse,6_floor,0.4,Failed,,
2024-11-11 10:00:48,Vinay19,LightHouse,6_floor,0.39,Failed,,
2024-11-11 10:00:49,Vinay19,LightHouse,6_floor,0.43,Success,0.09,Success
2024-11-11 10:00:49,Vinay19,LightHouse,6_floor,0.41,Success,,
2024-11-11 10:00:50,Vinay19,LightHouse,6_floor,0.43,Success,0.09,Success
2024-11-11 10:00:51,Vinay19,LightHouse,6_floor,0.54,Success,0.1,Success
2024-11-11 10:00:52,Vinay19,LightHouse,6_floor,0.83,Success,0.16,Success
2024-11-11 10:00:52,Vinay19,LightHouse,6_floor,0.88,Success,0.1,Success
2024-11-11 10:00:54,Vinay19,LightHouse,6_floor,1.01,Success,0.18,Success
2024-11-11 10:00:54,Vinay19,LightHouse,6_floor,0.81,Success,0.13,Success
2024-11-11 10:00:55,Vinay19,LightHouse,6_floor,1.07,Success,0.09,Success
